ep:5, reward:25.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:17.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:24.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:23.0, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:31.2, epsilon:97.00, lr:0.0120, loss:50.6881, val_loss:61.3718
ep:30, reward:21.6, epsilon:95.48, lr:0.0120, loss:49.6174, val_loss:56.8768
ep:35, reward:33.2, epsilon:93.97, lr:0.0120, loss:48.8589, val_loss:76.3624
ep:40, reward:26.0, epsilon:92.45, lr:0.0120, loss:42.4966, val_loss:18.4717
ep:45, reward:21.6, epsilon:90.92, lr:0.0120, loss:44.9052, val_loss:27.4103
ep:50, reward:15.0, epsilon:89.39, lr:0.0120, loss:54.4664, val_loss:41.3744
ep:55, reward:26.4, epsilon:87.86, lr:0.0120, loss:50.8675, val_loss:69.1929
ep:60, reward:25.6, epsilon:86.32, lr:0.0120, loss:42.7671, val_loss:51.8697
ep:65, reward:26.0, epsilon:84.77, lr:0.0120, loss:39.2532, val_loss:18.5187
ep:70, reward:29.8, epsilon:83.22, lr:0.0118, loss:45.4626, val_loss:7.6355
ep:75, reward:18.0, epsilon:81.67, lr:0.0116, loss:41.7743, val_loss:44.6482
ep:80, reward:37.6, epsilon:80.11, lr:0.0114, loss:48.9419, val_loss:22.6686
ep:85, reward:20.8, epsilon:78.55, lr:0.0112, loss:60.9674, val_loss:33.0554
ep:90, reward:25.6, epsilon:76.98, lr:0.0110, loss:37.1721, val_loss:27.0321
ep:95, reward:22.8, epsilon:75.40, lr:0.0108, loss:54.0383, val_loss:37.3465
ep:100, reward:26.0, epsilon:73.82, lr:0.0106, loss:43.3611, val_loss:59.8226
ep:105, reward:21.4, epsilon:72.24, lr:0.0104, loss:44.9685, val_loss:20.9581
ep:110, reward:39.2, epsilon:70.65, lr:0.0102, loss:39.8984, val_loss:49.4525
ep:115, reward:26.6, epsilon:69.05, lr:0.0100, loss:47.9859, val_loss:17.4459
ep:120, reward:23.0, epsilon:67.45, lr:0.0098, loss:28.4735, val_loss:41.9137
ep:125, reward:21.2, epsilon:65.85, lr:0.0096, loss:36.8041, val_loss:50.7663
ep:130, reward:22.0, epsilon:64.24, lr:0.0094, loss:44.8246, val_loss:12.7043
ep:135, reward:16.8, epsilon:62.62, lr:0.0092, loss:38.5069, val_loss:25.8488
ep:140, reward:25.8, epsilon:61.00, lr:0.0090, loss:35.2696, val_loss:36.0466
ep:145, reward:29.4, epsilon:59.38, lr:0.0088, loss:44.3935, val_loss:29.5626
ep:150, reward:46.2, epsilon:57.75, lr:0.0086, loss:28.9479, val_loss:37.9498
ep:155, reward:52.6, epsilon:56.11, lr:0.0084, loss:25.5460, val_loss:21.4965
ep:160, reward:33.0, epsilon:54.47, lr:0.0082, loss:28.9699, val_loss:36.9493
ep:165, reward:25.2, epsilon:52.83, lr:0.0080, loss:22.9627, val_loss:30.5334
ep:170, reward:33.2, epsilon:51.18, lr:0.0078, loss:24.1321, val_loss:8.3169
ep:175, reward:63.0, epsilon:49.52, lr:0.0076, loss:17.0223, val_loss:4.8706
ep:180, reward:39.2, epsilon:47.86, lr:0.0074, loss:23.0701, val_loss:27.8563
ep:185, reward:31.8, epsilon:46.20, lr:0.0072, loss:30.1705, val_loss:17.2924
ep:190, reward:75.4, epsilon:44.53, lr:0.0070, loss:12.0436, val_loss:42.4480
ep:195, reward:86.4, epsilon:42.85, lr:0.0068, loss:9.3847, val_loss:20.0678
ep:200, reward:161.6, epsilon:41.17, lr:0.0066, loss:8.8272, val_loss:7.4071
ep:205, reward:114.2, epsilon:39.49, lr:0.0064, loss:15.4248, val_loss:10.1376
ep:210, reward:135.6, epsilon:37.80, lr:0.0062, loss:2.6632, val_loss:0.6153
ep:215, reward:177.2, epsilon:36.10, lr:0.0060, loss:3.4637, val_loss:0.3084
ep:220, reward:191.6, epsilon:34.40, lr:0.0058, loss:4.1562, val_loss:1.2294
ep:225, reward:166.2, epsilon:32.70, lr:0.0056, loss:7.9319, val_loss:8.4173
ep:230, reward:180.2, epsilon:30.99, lr:0.0054, loss:5.5081, val_loss:0.5314
ep:235, reward:144.4, epsilon:29.27, lr:0.0052, loss:4.3065, val_loss:1.3709
ep:240, reward:112.8, epsilon:27.55, lr:0.0050, loss:13.0987, val_loss:3.6430
ep:245, reward:226.4, epsilon:25.83, lr:0.0048, loss:7.7473, val_loss:1.1364
ep:250, reward:215.6, epsilon:24.10, lr:0.0046, loss:2.3200, val_loss:0.5836
ep:255, reward:138.0, epsilon:22.36, lr:0.0044, loss:1.3528, val_loss:12.3117
ep:260, reward:152.8, epsilon:20.62, lr:0.0042, loss:5.6562, val_loss:0.7298
ep:265, reward:232.2, epsilon:18.88, lr:0.0040, loss:4.3638, val_loss:0.3974
ep:270, reward:199.0, epsilon:17.13, lr:0.0038, loss:4.9502, val_loss:7.8358
ep:275, reward:284.2, epsilon:15.37, lr:0.0036, loss:5.7724, val_loss:0.3261
ep:280, reward:216.4, epsilon:13.61, lr:0.0034, loss:2.9213, val_loss:0.3044
ep:285, reward:267.0, epsilon:11.85, lr:0.0032, loss:5.8156, val_loss:12.0257
ep:290, reward:169.4, epsilon:10.08, lr:0.0030, loss:0.7158, val_loss:0.2990
ep:295, reward:205.8, epsilon:8.30, lr:0.0028, loss:2.3626, val_loss:0.5467
ep:300, reward:170.6, epsilon:6.52, lr:0.0026, loss:6.4037, val_loss:2.6270
