ep:5, reward:25.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:15.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:22.2, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:19.2, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:19.8, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:19.0, epsilon:95.48, lr:0.0120, loss:63.8141, val_loss:41.2090
ep:35, reward:22.4, epsilon:93.97, lr:0.0120, loss:59.4599, val_loss:21.1299
ep:40, reward:17.6, epsilon:92.45, lr:0.0120, loss:60.7131, val_loss:77.1132
ep:45, reward:26.4, epsilon:90.92, lr:0.0120, loss:54.4027, val_loss:56.3520
ep:50, reward:24.2, epsilon:89.39, lr:0.0120, loss:70.6055, val_loss:25.0309
ep:55, reward:21.2, epsilon:87.86, lr:0.0120, loss:49.4711, val_loss:31.7694
ep:60, reward:18.4, epsilon:86.32, lr:0.0120, loss:42.7512, val_loss:34.0266
ep:65, reward:17.6, epsilon:84.77, lr:0.0120, loss:56.2827, val_loss:58.2501
ep:70, reward:22.6, epsilon:83.22, lr:0.0118, loss:41.0862, val_loss:65.4783
ep:75, reward:19.8, epsilon:81.67, lr:0.0116, loss:52.1120, val_loss:32.1009
ep:80, reward:18.4, epsilon:80.11, lr:0.0114, loss:58.3449, val_loss:68.0165
ep:85, reward:14.8, epsilon:78.55, lr:0.0112, loss:55.8464, val_loss:34.7955
ep:90, reward:23.0, epsilon:76.98, lr:0.0110, loss:60.9577, val_loss:17.2484
ep:95, reward:17.8, epsilon:75.40, lr:0.0108, loss:45.2808, val_loss:94.7985
ep:100, reward:28.6, epsilon:73.82, lr:0.0106, loss:46.0927, val_loss:53.0109
ep:105, reward:24.4, epsilon:72.24, lr:0.0104, loss:48.9104, val_loss:64.3209
ep:110, reward:20.6, epsilon:70.65, lr:0.0102, loss:37.3136, val_loss:73.9574
ep:115, reward:25.8, epsilon:69.05, lr:0.0100, loss:46.1188, val_loss:41.4770
ep:120, reward:21.6, epsilon:67.45, lr:0.0098, loss:51.7894, val_loss:67.7290
ep:125, reward:19.4, epsilon:65.85, lr:0.0096, loss:51.3315, val_loss:5.0678
ep:130, reward:21.4, epsilon:64.24, lr:0.0094, loss:67.6207, val_loss:59.4360
ep:135, reward:16.0, epsilon:62.62, lr:0.0092, loss:49.3040, val_loss:68.7279
ep:140, reward:16.4, epsilon:61.00, lr:0.0090, loss:42.4255, val_loss:67.7022
ep:145, reward:14.2, epsilon:59.38, lr:0.0088, loss:40.3208, val_loss:50.2290
ep:150, reward:16.4, epsilon:57.75, lr:0.0086, loss:39.8703, val_loss:20.6506
ep:155, reward:49.8, epsilon:56.11, lr:0.0084, loss:41.5707, val_loss:46.7071
ep:160, reward:16.4, epsilon:54.47, lr:0.0082, loss:36.2479, val_loss:13.1682
ep:165, reward:13.4, epsilon:52.83, lr:0.0080, loss:48.9328, val_loss:36.8558
ep:170, reward:17.0, epsilon:51.18, lr:0.0078, loss:44.1979, val_loss:47.3700
ep:175, reward:11.4, epsilon:49.52, lr:0.0076, loss:39.9493, val_loss:62.2597
ep:180, reward:63.4, epsilon:47.86, lr:0.0074, loss:31.6461, val_loss:42.3556
ep:185, reward:34.4, epsilon:46.20, lr:0.0072, loss:32.3851, val_loss:58.3872
ep:190, reward:14.8, epsilon:44.53, lr:0.0070, loss:25.5565, val_loss:24.9644
ep:195, reward:62.2, epsilon:42.85, lr:0.0068, loss:35.8359, val_loss:21.3753
ep:200, reward:25.0, epsilon:41.17, lr:0.0066, loss:21.5731, val_loss:10.5759
ep:205, reward:14.6, epsilon:39.49, lr:0.0064, loss:45.6870, val_loss:13.8742
ep:210, reward:155.2, epsilon:37.80, lr:0.0062, loss:20.8509, val_loss:1.3494
ep:215, reward:11.8, epsilon:36.10, lr:0.0060, loss:16.9782, val_loss:4.9974
ep:220, reward:69.6, epsilon:34.40, lr:0.0058, loss:14.8902, val_loss:2.6421
ep:225, reward:228.4, epsilon:32.70, lr:0.0056, loss:14.0390, val_loss:2.0273
ep:230, reward:300.8, epsilon:30.99, lr:0.0054, loss:2.9940, val_loss:0.3002
ep:235, reward:270.0, epsilon:29.27, lr:0.0052, loss:2.8106, val_loss:19.5484
ep:240, reward:135.2, epsilon:27.55, lr:0.0050, loss:7.3012, val_loss:17.2038
ep:245, reward:65.0, epsilon:25.83, lr:0.0048, loss:10.0798, val_loss:0.7334
ep:250, reward:131.6, epsilon:24.10, lr:0.0046, loss:12.5358, val_loss:10.1614
ep:255, reward:257.6, epsilon:22.36, lr:0.0044, loss:10.0550, val_loss:0.8658
ep:260, reward:180.0, epsilon:20.62, lr:0.0042, loss:2.8289, val_loss:0.3036
ep:265, reward:103.2, epsilon:18.88, lr:0.0040, loss:10.1459, val_loss:0.3443
ep:270, reward:423.8, epsilon:17.13, lr:0.0038, loss:2.8007, val_loss:0.2569
ep:275, reward:198.2, epsilon:15.37, lr:0.0036, loss:7.8797, val_loss:0.3193
