ep:5, reward:22.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:28.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:21.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:25.0, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:19.4, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:18.8, epsilon:95.49, lr:0.0120, loss:39.3112, val_loss:61.6407
ep:35, reward:24.6, epsilon:93.97, lr:0.0120, loss:40.7221, val_loss:2.3361
ep:40, reward:24.4, epsilon:92.46, lr:0.0120, loss:53.6073, val_loss:42.1675
ep:45, reward:15.2, epsilon:90.94, lr:0.0120, loss:53.8736, val_loss:44.0247
ep:50, reward:20.4, epsilon:89.41, lr:0.0120, loss:48.3883, val_loss:91.4354
ep:55, reward:15.6, epsilon:87.88, lr:0.0120, loss:56.7526, val_loss:38.3161
ep:60, reward:21.0, epsilon:86.35, lr:0.0120, loss:45.4273, val_loss:22.0229
ep:65, reward:16.4, epsilon:84.81, lr:0.0120, loss:53.8942, val_loss:21.4018
ep:70, reward:29.4, epsilon:83.27, lr:0.0118, loss:44.9597, val_loss:86.5244
ep:75, reward:16.0, epsilon:81.72, lr:0.0116, loss:58.4769, val_loss:34.1156
ep:80, reward:26.6, epsilon:80.17, lr:0.0114, loss:31.6126, val_loss:48.8545
ep:85, reward:18.6, epsilon:78.62, lr:0.0112, loss:51.0666, val_loss:35.5122
ep:90, reward:19.0, epsilon:77.06, lr:0.0110, loss:77.2154, val_loss:48.6546
ep:95, reward:15.6, epsilon:75.50, lr:0.0108, loss:52.0602, val_loss:28.8897
ep:100, reward:19.6, epsilon:73.93, lr:0.0106, loss:48.8695, val_loss:21.7996
ep:105, reward:20.8, epsilon:72.36, lr:0.0104, loss:40.9880, val_loss:42.4746
ep:110, reward:22.4, epsilon:70.78, lr:0.0102, loss:43.3178, val_loss:74.2083
ep:115, reward:17.8, epsilon:69.20, lr:0.0100, loss:44.5742, val_loss:61.4483
ep:120, reward:19.8, epsilon:67.62, lr:0.0098, loss:45.0367, val_loss:33.0904
ep:125, reward:22.0, epsilon:66.03, lr:0.0096, loss:54.1349, val_loss:52.3192
ep:130, reward:14.2, epsilon:64.44, lr:0.0094, loss:55.4548, val_loss:47.4891
ep:135, reward:13.6, epsilon:62.84, lr:0.0092, loss:58.8445, val_loss:48.5669
ep:140, reward:17.2, epsilon:61.24, lr:0.0090, loss:39.4108, val_loss:33.1221
ep:145, reward:18.4, epsilon:59.64, lr:0.0088, loss:48.1638, val_loss:11.9137
ep:150, reward:17.6, epsilon:58.03, lr:0.0086, loss:61.9362, val_loss:47.9099
ep:155, reward:14.6, epsilon:56.41, lr:0.0084, loss:48.4576, val_loss:36.5756
ep:160, reward:31.4, epsilon:54.79, lr:0.0082, loss:50.1503, val_loss:40.2624
ep:165, reward:21.6, epsilon:53.17, lr:0.0080, loss:68.0180, val_loss:6.7247
ep:170, reward:16.8, epsilon:51.55, lr:0.0078, loss:59.0656, val_loss:134.8914
ep:175, reward:13.6, epsilon:49.92, lr:0.0076, loss:52.4202, val_loss:24.3569
ep:180, reward:15.8, epsilon:48.28, lr:0.0074, loss:44.6558, val_loss:66.6340
ep:185, reward:17.0, epsilon:46.64, lr:0.0072, loss:47.6179, val_loss:53.3433
