ep:5, reward:32.6, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:17.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:18.6, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:22.0, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:14.2, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:19.2, epsilon:95.49, lr:0.0120, loss:62.0689, val_loss:42.3334
ep:35, reward:22.4, epsilon:93.98, lr:0.0120, loss:56.2455, val_loss:40.4106
ep:40, reward:17.0, epsilon:92.46, lr:0.0120, loss:63.5098, val_loss:77.5446
ep:45, reward:17.6, epsilon:90.94, lr:0.0120, loss:61.1483, val_loss:39.4327
ep:50, reward:20.6, epsilon:89.42, lr:0.0120, loss:52.2445, val_loss:39.4335
ep:55, reward:29.2, epsilon:87.89, lr:0.0120, loss:39.4238, val_loss:40.7105
ep:60, reward:16.8, epsilon:86.36, lr:0.0120, loss:67.2571, val_loss:49.8075
ep:65, reward:16.4, epsilon:84.82, lr:0.0120, loss:66.3488, val_loss:67.1401
ep:70, reward:17.2, epsilon:83.28, lr:0.0118, loss:48.4353, val_loss:104.8013
ep:75, reward:24.4, epsilon:81.74, lr:0.0116, loss:52.4999, val_loss:79.2887
ep:80, reward:18.2, epsilon:80.19, lr:0.0114, loss:46.6959, val_loss:2.3477
ep:85, reward:16.4, epsilon:78.64, lr:0.0112, loss:46.9492, val_loss:120.1153
ep:90, reward:24.2, epsilon:77.08, lr:0.0110, loss:53.1519, val_loss:35.3682
ep:95, reward:20.6, epsilon:75.52, lr:0.0108, loss:66.9546, val_loss:7.1657
ep:100, reward:15.6, epsilon:73.96, lr:0.0106, loss:61.2474, val_loss:42.2270
ep:105, reward:35.8, epsilon:72.39, lr:0.0104, loss:52.8581, val_loss:88.0616
ep:110, reward:27.4, epsilon:70.82, lr:0.0102, loss:59.8486, val_loss:2.2836
ep:115, reward:17.0, epsilon:69.24, lr:0.0100, loss:39.9052, val_loss:63.7339
ep:120, reward:15.0, epsilon:67.66, lr:0.0098, loss:44.2262, val_loss:58.4890
ep:125, reward:18.8, epsilon:66.08, lr:0.0096, loss:43.8014, val_loss:70.0209
ep:130, reward:12.2, epsilon:64.49, lr:0.0094, loss:59.1871, val_loss:33.2101
ep:135, reward:43.6, epsilon:62.90, lr:0.0092, loss:44.2583, val_loss:74.1520
ep:140, reward:14.6, epsilon:61.30, lr:0.0090, loss:36.6186, val_loss:44.5653
ep:145, reward:20.0, epsilon:59.70, lr:0.0088, loss:37.6169, val_loss:72.8052
ep:150, reward:14.0, epsilon:58.10, lr:0.0086, loss:38.4217, val_loss:46.5858
ep:155, reward:29.4, epsilon:56.49, lr:0.0084, loss:40.6843, val_loss:71.0501
ep:160, reward:47.8, epsilon:54.88, lr:0.0082, loss:41.6395, val_loss:13.0270
