ep:5, reward:16.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:19.0, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:30.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:24.6, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:24.2, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:26.8, epsilon:95.48, lr:0.0120, loss:57.5614, val_loss:21.4273
ep:35, reward:24.6, epsilon:93.97, lr:0.0120, loss:47.2765, val_loss:98.2276
ep:40, reward:22.0, epsilon:92.45, lr:0.0120, loss:46.9001, val_loss:38.7740
ep:45, reward:17.4, epsilon:90.92, lr:0.0120, loss:52.1164, val_loss:72.5121
ep:50, reward:14.8, epsilon:89.39, lr:0.0120, loss:43.6046, val_loss:40.1278
ep:55, reward:14.6, epsilon:87.86, lr:0.0120, loss:44.5803, val_loss:60.8718
ep:60, reward:24.6, epsilon:86.32, lr:0.0120, loss:52.3951, val_loss:75.0473
ep:65, reward:16.6, epsilon:84.77, lr:0.0120, loss:48.3741, val_loss:89.1250
ep:70, reward:16.2, epsilon:83.22, lr:0.0118, loss:52.6609, val_loss:46.7798
ep:75, reward:18.8, epsilon:81.67, lr:0.0116, loss:60.5205, val_loss:69.1299
ep:80, reward:19.4, epsilon:80.11, lr:0.0114, loss:44.6608, val_loss:63.9277
ep:85, reward:24.8, epsilon:78.55, lr:0.0112, loss:44.1570, val_loss:40.3113
ep:90, reward:17.8, epsilon:76.98, lr:0.0110, loss:47.8073, val_loss:50.8201
ep:95, reward:20.6, epsilon:75.40, lr:0.0108, loss:44.7252, val_loss:76.3829
ep:100, reward:31.0, epsilon:73.82, lr:0.0106, loss:42.7179, val_loss:53.3531
ep:105, reward:23.6, epsilon:72.24, lr:0.0104, loss:48.9407, val_loss:39.0368
ep:110, reward:16.2, epsilon:70.65, lr:0.0102, loss:45.3675, val_loss:64.3040
ep:115, reward:21.6, epsilon:69.05, lr:0.0100, loss:46.4009, val_loss:55.6017
ep:120, reward:13.8, epsilon:67.45, lr:0.0098, loss:32.6771, val_loss:53.9163
ep:125, reward:15.4, epsilon:65.85, lr:0.0096, loss:56.7108, val_loss:92.7987
ep:130, reward:25.8, epsilon:64.24, lr:0.0094, loss:53.1987, val_loss:71.5740
ep:135, reward:12.0, epsilon:62.62, lr:0.0092, loss:50.6409, val_loss:50.6673
ep:140, reward:13.8, epsilon:61.00, lr:0.0090, loss:61.1446, val_loss:35.8678
ep:145, reward:17.2, epsilon:59.38, lr:0.0088, loss:44.2687, val_loss:27.5730
ep:150, reward:14.0, epsilon:57.75, lr:0.0086, loss:52.4158, val_loss:38.3203
ep:155, reward:17.0, epsilon:56.11, lr:0.0084, loss:47.1352, val_loss:60.3489
ep:160, reward:14.0, epsilon:54.47, lr:0.0082, loss:45.3983, val_loss:44.8984
ep:165, reward:11.0, epsilon:52.83, lr:0.0080, loss:53.6838, val_loss:42.0257
ep:170, reward:24.8, epsilon:51.18, lr:0.0078, loss:44.1519, val_loss:59.0482
ep:175, reward:15.4, epsilon:49.52, lr:0.0076, loss:52.1981, val_loss:80.3088
ep:180, reward:11.0, epsilon:47.86, lr:0.0074, loss:35.7914, val_loss:89.5263
ep:185, reward:20.0, epsilon:46.20, lr:0.0072, loss:57.6925, val_loss:68.7218
ep:190, reward:11.8, epsilon:44.53, lr:0.0070, loss:50.3577, val_loss:74.4185
ep:195, reward:17.4, epsilon:42.85, lr:0.0068, loss:61.4003, val_loss:46.2106
ep:200, reward:62.4, epsilon:41.17, lr:0.0066, loss:49.4316, val_loss:39.4662
ep:205, reward:17.8, epsilon:39.49, lr:0.0064, loss:51.0167, val_loss:73.9560
ep:210, reward:46.4, epsilon:37.80, lr:0.0062, loss:33.2062, val_loss:46.9407
ep:215, reward:17.4, epsilon:36.10, lr:0.0060, loss:46.5931, val_loss:62.2040
ep:220, reward:48.4, epsilon:34.40, lr:0.0058, loss:33.2817, val_loss:22.2937
ep:225, reward:20.0, epsilon:32.70, lr:0.0056, loss:32.1041, val_loss:49.0512
ep:230, reward:18.2, epsilon:30.99, lr:0.0054, loss:21.4763, val_loss:88.4923
ep:235, reward:18.6, epsilon:29.27, lr:0.0052, loss:31.5333, val_loss:28.3486
ep:240, reward:30.6, epsilon:27.55, lr:0.0050, loss:34.9874, val_loss:20.1207
ep:245, reward:42.4, epsilon:25.83, lr:0.0048, loss:20.1502, val_loss:16.4647
ep:250, reward:240.6, epsilon:24.10, lr:0.0046, loss:10.3976, val_loss:2.2241
ep:255, reward:74.8, epsilon:22.36, lr:0.0044, loss:5.3899, val_loss:15.9609
ep:260, reward:171.8, epsilon:20.62, lr:0.0042, loss:6.9983, val_loss:32.2209
ep:265, reward:123.2, epsilon:18.88, lr:0.0040, loss:8.2750, val_loss:16.6461
ep:270, reward:165.0, epsilon:17.13, lr:0.0038, loss:9.3997, val_loss:0.7856
ep:275, reward:93.8, epsilon:15.37, lr:0.0036, loss:7.7681, val_loss:13.0051
ep:280, reward:135.6, epsilon:13.61, lr:0.0034, loss:6.9546, val_loss:0.8731
ep:285, reward:101.4, epsilon:11.85, lr:0.0032, loss:13.8184, val_loss:1.9483
ep:290, reward:148.8, epsilon:10.08, lr:0.0030, loss:4.2271, val_loss:12.3203
ep:295, reward:135.4, epsilon:8.30, lr:0.0028, loss:8.0647, val_loss:1.0656
ep:300, reward:128.0, epsilon:6.52, lr:0.0026, loss:3.7407, val_loss:11.9387
