ep:5, reward:25.0, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:17.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:24.2, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:20.8, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:19.8, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:20.4, epsilon:95.49, lr:0.0120, loss:55.1755, val_loss:101.9904
ep:35, reward:25.4, epsilon:93.98, lr:0.0120, loss:58.7022, val_loss:60.0992
ep:40, reward:21.6, epsilon:92.46, lr:0.0120, loss:51.1313, val_loss:60.8839
ep:45, reward:25.6, epsilon:90.94, lr:0.0120, loss:43.7007, val_loss:93.6237
ep:50, reward:20.8, epsilon:89.42, lr:0.0120, loss:66.7567, val_loss:79.5158
ep:55, reward:18.8, epsilon:87.89, lr:0.0120, loss:44.9490, val_loss:50.9174
ep:60, reward:24.6, epsilon:86.36, lr:0.0120, loss:48.1097, val_loss:75.8967
ep:65, reward:28.0, epsilon:84.82, lr:0.0120, loss:56.1196, val_loss:121.4699
ep:70, reward:23.2, epsilon:83.28, lr:0.0118, loss:46.9768, val_loss:38.6874
ep:75, reward:29.6, epsilon:81.74, lr:0.0116, loss:37.4812, val_loss:4.1571
ep:80, reward:24.6, epsilon:80.19, lr:0.0114, loss:34.9774, val_loss:56.2860
ep:85, reward:48.0, epsilon:78.64, lr:0.0112, loss:55.0754, val_loss:20.1587
ep:90, reward:33.6, epsilon:77.08, lr:0.0110, loss:42.9034, val_loss:47.9402
ep:95, reward:32.6, epsilon:75.52, lr:0.0108, loss:40.2686, val_loss:62.2504
ep:100, reward:58.4, epsilon:73.96, lr:0.0106, loss:42.3190, val_loss:25.9730
ep:105, reward:28.0, epsilon:72.39, lr:0.0104, loss:29.3741, val_loss:19.3591
ep:110, reward:12.6, epsilon:70.82, lr:0.0102, loss:31.5517, val_loss:19.5157
ep:115, reward:15.8, epsilon:69.24, lr:0.0100, loss:22.7850, val_loss:31.2745
ep:120, reward:27.2, epsilon:67.66, lr:0.0098, loss:39.1467, val_loss:18.4035
ep:125, reward:30.2, epsilon:66.08, lr:0.0096, loss:35.7233, val_loss:25.5996
ep:130, reward:21.0, epsilon:64.49, lr:0.0094, loss:23.0158, val_loss:29.8918
ep:135, reward:20.6, epsilon:62.90, lr:0.0092, loss:19.2638, val_loss:20.6685
ep:140, reward:23.6, epsilon:61.30, lr:0.0090, loss:31.4687, val_loss:23.6501
ep:145, reward:30.2, epsilon:59.70, lr:0.0088, loss:38.1044, val_loss:53.6789
ep:150, reward:17.0, epsilon:58.10, lr:0.0086, loss:40.7026, val_loss:17.5952
ep:155, reward:74.8, epsilon:56.49, lr:0.0084, loss:40.2084, val_loss:49.8639
ep:160, reward:18.8, epsilon:54.88, lr:0.0082, loss:32.3482, val_loss:20.5338
ep:165, reward:29.2, epsilon:53.26, lr:0.0080, loss:29.0970, val_loss:33.7549
ep:170, reward:84.8, epsilon:51.64, lr:0.0078, loss:33.8203, val_loss:10.1444
ep:175, reward:89.2, epsilon:50.02, lr:0.0076, loss:24.1794, val_loss:27.8810
ep:180, reward:47.4, epsilon:48.39, lr:0.0074, loss:24.4880, val_loss:23.4706
ep:185, reward:47.6, epsilon:46.76, lr:0.0072, loss:12.7412, val_loss:4.3030
ep:190, reward:81.0, epsilon:45.12, lr:0.0070, loss:15.0212, val_loss:6.6397
ep:195, reward:238.4, epsilon:43.48, lr:0.0068, loss:9.2087, val_loss:1.7443
ep:200, reward:41.2, epsilon:41.84, lr:0.0066, loss:3.5366, val_loss:5.4646
ep:205, reward:115.6, epsilon:40.19, lr:0.0064, loss:1.0734, val_loss:0.5315
ep:210, reward:214.6, epsilon:38.54, lr:0.0062, loss:8.0336, val_loss:0.2752
ep:215, reward:172.2, epsilon:36.88, lr:0.0060, loss:11.2533, val_loss:1.1478
ep:220, reward:73.0, epsilon:35.22, lr:0.0058, loss:6.3993, val_loss:2.4424
ep:225, reward:195.2, epsilon:33.56, lr:0.0056, loss:16.8692, val_loss:4.0619
ep:230, reward:114.4, epsilon:31.89, lr:0.0054, loss:11.6063, val_loss:1.0910
ep:235, reward:170.8, epsilon:30.22, lr:0.0052, loss:5.5129, val_loss:1.0452
ep:240, reward:106.0, epsilon:28.54, lr:0.0050, loss:6.7858, val_loss:14.7840
ep:245, reward:169.8, epsilon:26.86, lr:0.0048, loss:8.9795, val_loss:10.9484
ep:250, reward:132.4, epsilon:25.18, lr:0.0046, loss:8.7654, val_loss:33.4169
ep:255, reward:151.4, epsilon:23.49, lr:0.0044, loss:1.7009, val_loss:0.5663
ep:260, reward:350.0, epsilon:21.80, lr:0.0042, loss:0.5037, val_loss:0.3411
ep:265, reward:238.0, epsilon:20.10, lr:0.0040, loss:8.0282, val_loss:19.3640
ep:270, reward:102.6, epsilon:18.40, lr:0.0038, loss:8.8009, val_loss:20.0758
ep:275, reward:169.6, epsilon:16.70, lr:0.0036, loss:12.5361, val_loss:11.9508
ep:280, reward:148.6, epsilon:14.99, lr:0.0034, loss:10.2533, val_loss:21.5906
ep:285, reward:272.8, epsilon:13.28, lr:0.0032, loss:5.5351, val_loss:10.5753
ep:290, reward:165.0, epsilon:11.56, lr:0.0030, loss:7.0514, val_loss:36.9696
ep:295, reward:138.6, epsilon:9.84, lr:0.0028, loss:5.3229, val_loss:0.3528
ep:300, reward:338.4, epsilon:8.12, lr:0.0026, loss:2.7069, val_loss:0.3697
