ep:5, reward:34.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:20.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:23.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:27.2, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:24.6, epsilon:97.00, lr:0.0120, loss:37.1521, val_loss:102.4046
ep:30, reward:22.4, epsilon:95.49, lr:0.0120, loss:44.8315, val_loss:62.1912
ep:35, reward:18.8, epsilon:93.98, lr:0.0120, loss:56.1866, val_loss:39.6035
ep:40, reward:24.4, epsilon:92.46, lr:0.0120, loss:44.9265, val_loss:72.4160
ep:45, reward:20.2, epsilon:90.94, lr:0.0120, loss:54.1717, val_loss:125.1175
ep:50, reward:22.4, epsilon:89.42, lr:0.0120, loss:42.4053, val_loss:24.2077
ep:55, reward:17.8, epsilon:87.89, lr:0.0120, loss:58.1148, val_loss:61.7610
ep:60, reward:30.6, epsilon:86.36, lr:0.0120, loss:38.2914, val_loss:57.2903
ep:65, reward:14.8, epsilon:84.82, lr:0.0120, loss:45.2841, val_loss:60.5452
ep:70, reward:27.8, epsilon:83.28, lr:0.0118, loss:53.3744, val_loss:38.9552
ep:75, reward:23.6, epsilon:81.74, lr:0.0116, loss:29.2958, val_loss:27.1859
ep:80, reward:21.0, epsilon:80.19, lr:0.0114, loss:44.6059, val_loss:38.3181
ep:85, reward:22.2, epsilon:78.64, lr:0.0112, loss:58.8438, val_loss:25.4769
ep:90, reward:14.4, epsilon:77.08, lr:0.0110, loss:48.8933, val_loss:67.8096
ep:95, reward:28.4, epsilon:75.52, lr:0.0108, loss:57.5119, val_loss:13.7197
ep:100, reward:15.8, epsilon:73.96, lr:0.0106, loss:45.0466, val_loss:22.5086
ep:105, reward:17.2, epsilon:72.39, lr:0.0104, loss:58.5365, val_loss:21.6866
ep:110, reward:15.2, epsilon:70.82, lr:0.0102, loss:47.0905, val_loss:7.8924
ep:115, reward:17.0, epsilon:69.24, lr:0.0100, loss:44.4230, val_loss:46.7741
ep:120, reward:20.6, epsilon:67.66, lr:0.0098, loss:41.1523, val_loss:24.4593
ep:125, reward:23.0, epsilon:66.08, lr:0.0096, loss:47.4770, val_loss:21.9257
ep:130, reward:35.4, epsilon:64.49, lr:0.0094, loss:47.5183, val_loss:16.0477
ep:135, reward:37.0, epsilon:62.90, lr:0.0092, loss:37.8582, val_loss:13.6232
ep:140, reward:19.0, epsilon:61.30, lr:0.0090, loss:38.7124, val_loss:47.8713
ep:145, reward:50.8, epsilon:59.70, lr:0.0088, loss:36.2158, val_loss:28.0383
ep:150, reward:21.6, epsilon:58.10, lr:0.0086, loss:52.9029, val_loss:35.3367
ep:155, reward:21.8, epsilon:56.49, lr:0.0084, loss:50.8106, val_loss:17.1244
ep:160, reward:20.0, epsilon:54.88, lr:0.0082, loss:40.9385, val_loss:64.7712
