ep:5, reward:30.0, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:19.2, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:33.2, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:31.2, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:15.0, epsilon:97.00, lr:0.0120, loss:50.7121, val_loss:21.8956
ep:30, reward:27.6, epsilon:95.48, lr:0.0120, loss:44.8609, val_loss:77.9592
ep:35, reward:17.2, epsilon:93.97, lr:0.0120, loss:40.5078, val_loss:75.0072
ep:40, reward:22.8, epsilon:92.45, lr:0.0120, loss:52.7783, val_loss:2.2181
ep:45, reward:15.2, epsilon:90.92, lr:0.0120, loss:50.0804, val_loss:79.3964
ep:50, reward:20.2, epsilon:89.39, lr:0.0120, loss:46.8030, val_loss:23.8325
ep:55, reward:25.6, epsilon:87.86, lr:0.0120, loss:50.0043, val_loss:108.9570
ep:60, reward:31.0, epsilon:86.32, lr:0.0120, loss:53.1785, val_loss:2.1754
ep:65, reward:20.4, epsilon:84.77, lr:0.0120, loss:54.9596, val_loss:51.5447
ep:70, reward:22.4, epsilon:83.22, lr:0.0118, loss:42.4707, val_loss:33.1751
ep:75, reward:16.6, epsilon:81.67, lr:0.0116, loss:56.4479, val_loss:66.9313
ep:80, reward:25.4, epsilon:80.11, lr:0.0114, loss:53.6515, val_loss:55.4386
ep:85, reward:29.2, epsilon:78.55, lr:0.0112, loss:41.4497, val_loss:37.0940
ep:90, reward:20.6, epsilon:76.98, lr:0.0110, loss:51.5248, val_loss:79.2428
ep:95, reward:17.8, epsilon:75.40, lr:0.0108, loss:44.8474, val_loss:20.9087
ep:100, reward:15.0, epsilon:73.82, lr:0.0106, loss:48.3653, val_loss:72.5731
ep:105, reward:18.8, epsilon:72.24, lr:0.0104, loss:37.8123, val_loss:18.5235
ep:110, reward:20.8, epsilon:70.65, lr:0.0102, loss:46.6481, val_loss:34.4632
ep:115, reward:18.8, epsilon:69.05, lr:0.0100, loss:46.4995, val_loss:72.4726
ep:120, reward:29.2, epsilon:67.45, lr:0.0098, loss:50.3553, val_loss:21.5269
ep:125, reward:21.4, epsilon:65.85, lr:0.0096, loss:35.2868, val_loss:17.5456
ep:130, reward:18.6, epsilon:64.24, lr:0.0094, loss:38.6756, val_loss:37.7755
ep:135, reward:41.0, epsilon:62.62, lr:0.0092, loss:42.9590, val_loss:39.6488
ep:140, reward:37.4, epsilon:61.00, lr:0.0090, loss:36.1560, val_loss:32.0972
ep:145, reward:32.0, epsilon:59.38, lr:0.0088, loss:53.2120, val_loss:71.9550
ep:150, reward:18.6, epsilon:57.75, lr:0.0086, loss:39.6760, val_loss:47.6715
ep:155, reward:17.4, epsilon:56.11, lr:0.0084, loss:43.9970, val_loss:3.3061
ep:160, reward:23.0, epsilon:54.47, lr:0.0082, loss:32.5801, val_loss:24.1434
ep:165, reward:15.0, epsilon:52.83, lr:0.0080, loss:40.5270, val_loss:49.1412
ep:170, reward:15.8, epsilon:51.18, lr:0.0078, loss:52.3858, val_loss:17.0315
ep:175, reward:38.0, epsilon:49.52, lr:0.0076, loss:39.2507, val_loss:48.2244
ep:180, reward:20.0, epsilon:47.86, lr:0.0074, loss:35.6656, val_loss:85.6050
ep:185, reward:59.4, epsilon:46.20, lr:0.0072, loss:34.8276, val_loss:18.4746
ep:190, reward:17.8, epsilon:44.53, lr:0.0070, loss:25.0791, val_loss:2.8447
ep:195, reward:40.4, epsilon:42.85, lr:0.0068, loss:38.3104, val_loss:41.1308
ep:200, reward:47.0, epsilon:41.17, lr:0.0066, loss:33.3370, val_loss:21.2705
ep:205, reward:38.8, epsilon:39.49, lr:0.0064, loss:38.1456, val_loss:7.8437
ep:210, reward:38.8, epsilon:37.80, lr:0.0062, loss:29.6745, val_loss:13.7445
ep:215, reward:65.8, epsilon:36.10, lr:0.0060, loss:29.7668, val_loss:30.8297
ep:220, reward:41.8, epsilon:34.40, lr:0.0058, loss:22.6729, val_loss:20.8455
ep:225, reward:118.6, epsilon:32.70, lr:0.0056, loss:13.0122, val_loss:15.1126
ep:230, reward:62.2, epsilon:30.99, lr:0.0054, loss:7.7489, val_loss:22.9185
ep:235, reward:40.6, epsilon:29.27, lr:0.0052, loss:13.2249, val_loss:15.3215
ep:240, reward:137.0, epsilon:27.55, lr:0.0050, loss:8.7424, val_loss:8.0907
ep:245, reward:120.8, epsilon:25.83, lr:0.0048, loss:9.2365, val_loss:16.7928
ep:250, reward:164.6, epsilon:24.10, lr:0.0046, loss:8.5676, val_loss:0.8265
ep:255, reward:79.8, epsilon:22.36, lr:0.0044, loss:2.3359, val_loss:0.8533
ep:260, reward:155.8, epsilon:20.62, lr:0.0042, loss:10.3288, val_loss:21.1755
ep:265, reward:158.8, epsilon:18.88, lr:0.0040, loss:7.7774, val_loss:25.7090
ep:270, reward:140.4, epsilon:17.13, lr:0.0038, loss:9.0986, val_loss:0.6817
ep:275, reward:135.2, epsilon:15.37, lr:0.0036, loss:9.1193, val_loss:4.7273
ep:280, reward:147.6, epsilon:13.61, lr:0.0034, loss:13.6719, val_loss:0.7107
ep:285, reward:135.6, epsilon:11.85, lr:0.0032, loss:10.4745, val_loss:1.2424
ep:290, reward:143.0, epsilon:10.08, lr:0.0030, loss:2.7791, val_loss:0.6594
ep:295, reward:96.0, epsilon:8.30, lr:0.0028, loss:4.7456, val_loss:0.6662
ep:300, reward:190.2, epsilon:6.52, lr:0.0026, loss:9.2923, val_loss:1.5001
