ep:5, reward:34.0, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:18.8, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:17.4, epsilon:100.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:26.4, epsilon:98.50, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:19.2, epsilon:97.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:23.6, epsilon:95.49, lr:0.0120, loss:54.8029, val_loss:62.8778
ep:35, reward:28.2, epsilon:93.98, lr:0.0120, loss:55.7323, val_loss:23.7398
ep:40, reward:24.4, epsilon:92.46, lr:0.0120, loss:48.3822, val_loss:81.1086
ep:45, reward:13.4, epsilon:90.94, lr:0.0120, loss:51.7870, val_loss:61.0796
ep:50, reward:13.4, epsilon:89.42, lr:0.0120, loss:70.4557, val_loss:21.5995
ep:55, reward:16.2, epsilon:87.89, lr:0.0120, loss:60.7567, val_loss:57.9643
ep:60, reward:20.0, epsilon:86.36, lr:0.0120, loss:41.4027, val_loss:69.7656
ep:65, reward:24.2, epsilon:84.82, lr:0.0120, loss:49.5207, val_loss:6.4644
ep:70, reward:19.0, epsilon:83.28, lr:0.0118, loss:56.7274, val_loss:88.7140
ep:75, reward:23.6, epsilon:81.74, lr:0.0116, loss:61.3908, val_loss:61.6402
ep:80, reward:19.6, epsilon:80.19, lr:0.0114, loss:45.8030, val_loss:86.6643
ep:85, reward:14.8, epsilon:78.64, lr:0.0112, loss:40.0955, val_loss:61.9888
ep:90, reward:13.2, epsilon:77.08, lr:0.0110, loss:60.6750, val_loss:24.4648
ep:95, reward:30.6, epsilon:75.52, lr:0.0108, loss:54.3618, val_loss:15.0839
ep:100, reward:31.4, epsilon:73.96, lr:0.0106, loss:51.1949, val_loss:8.0568
ep:105, reward:25.8, epsilon:72.39, lr:0.0104, loss:40.7618, val_loss:50.5077
ep:110, reward:18.0, epsilon:70.82, lr:0.0102, loss:62.8801, val_loss:20.9807
ep:115, reward:17.2, epsilon:69.24, lr:0.0100, loss:45.9773, val_loss:92.1682
ep:120, reward:14.2, epsilon:67.66, lr:0.0098, loss:45.9029, val_loss:5.2449
ep:125, reward:14.0, epsilon:66.08, lr:0.0096, loss:47.9415, val_loss:26.4546
ep:130, reward:17.2, epsilon:64.49, lr:0.0094, loss:54.5747, val_loss:57.4548
ep:135, reward:16.0, epsilon:62.90, lr:0.0092, loss:51.2751, val_loss:71.4486
ep:140, reward:18.6, epsilon:61.30, lr:0.0090, loss:54.1713, val_loss:91.0798
ep:145, reward:34.6, epsilon:59.70, lr:0.0088, loss:54.1955, val_loss:46.3501
ep:150, reward:29.6, epsilon:58.10, lr:0.0086, loss:38.2158, val_loss:32.1764
ep:155, reward:28.0, epsilon:56.49, lr:0.0084, loss:36.8561, val_loss:6.2211
