ep:345, reward:31.8, epsilon:61.45, lr:0.0064, loss:68.4947, val_loss:140.6488
ep:350, reward:41.6, epsilon:60.90, lr:0.0063, loss:81.4959, val_loss:56.1930
ep:355, reward:31.6, epsilon:60.35, lr:0.0062, loss:76.8490, val_loss:52.7243
ep:360, reward:47.0, epsilon:59.80, lr:0.0061, loss:82.7080, val_loss:77.6456
ep:365, reward:32.4, epsilon:59.25, lr:0.0060, loss:81.6946, val_loss:74.7437
ep:370, reward:64.6, epsilon:58.70, lr:0.0059, loss:74.0122, val_loss:42.2270
ep:375, reward:37.0, epsilon:58.15, lr:0.0058, loss:83.7536, val_loss:76.5702
ep:380, reward:58.6, epsilon:57.60, lr:0.0057, loss:78.6609, val_loss:42.7246
ep:385, reward:29.2, epsilon:57.05, lr:0.0056, loss:80.2816, val_loss:47.4147
ep:390, reward:35.6, epsilon:56.50, lr:0.0055, loss:87.5359, val_loss:70.9005
ep:395, reward:42.2, epsilon:55.95, lr:0.0054, loss:77.5180, val_loss:105.2253
ep:400, reward:52.2, epsilon:55.40, lr:0.0053, loss:64.8557, val_loss:63.7346
ep:405, reward:47.6, epsilon:54.85, lr:0.0052, loss:73.2976, val_loss:98.8507
ep:410, reward:41.6, epsilon:54.30, lr:0.0051, loss:70.6258, val_loss:48.9318
ep:415, reward:44.2, epsilon:53.75, lr:0.0050, loss:81.0370, val_loss:72.7159
ep:420, reward:39.6, epsilon:53.20, lr:0.0049, loss:75.0380, val_loss:72.7679
ep:425, reward:47.8, epsilon:52.65, lr:0.0048, loss:69.3519, val_loss:71.2219
ep:430, reward:40.6, epsilon:52.10, lr:0.0047, loss:72.1864, val_loss:75.5415
ep:435, reward:51.2, epsilon:51.55, lr:0.0046, loss:82.2020, val_loss:108.4281
ep:440, reward:45.4, epsilon:51.00, lr:0.0045, loss:85.2450, val_loss:50.1005
ep:445, reward:43.6, epsilon:50.45, lr:0.0044, loss:91.6755, val_loss:76.5465
ep:450, reward:50.0, epsilon:49.90, lr:0.0043, loss:75.8736, val_loss:109.9474
ep:455, reward:51.4, epsilon:49.35, lr:0.0042, loss:84.4765, val_loss:48.1763
ep:460, reward:39.6, epsilon:48.80, lr:0.0041, loss:96.5014, val_loss:58.2228
ep:465, reward:30.0, epsilon:48.25, lr:0.0040, loss:64.0481, val_loss:80.9291
ep:470, reward:42.0, epsilon:47.70, lr:0.0039, loss:73.9339, val_loss:112.3117
ep:475, reward:40.0, epsilon:47.15, lr:0.0038, loss:77.5093, val_loss:89.8423
ep:480, reward:53.0, epsilon:46.60, lr:0.0037, loss:63.8356, val_loss:89.5129
ep:485, reward:24.0, epsilon:46.05, lr:0.0036, loss:72.3749, val_loss:59.1608
ep:490, reward:44.6, epsilon:45.50, lr:0.0035, loss:54.5219, val_loss:78.9825
ep:495, reward:44.0, epsilon:44.95, lr:0.0034, loss:54.3838, val_loss:71.2792
ep:500, reward:62.0, epsilon:44.40, lr:0.0033, loss:54.3203, val_loss:14.0468
ep:505, reward:27.0, epsilon:43.85, lr:0.0032, loss:41.3044, val_loss:28.9872
ep:510, reward:29.8, epsilon:43.30, lr:0.0031, loss:43.6097, val_loss:17.5809
ep:515, reward:58.4, epsilon:42.75, lr:0.0030, loss:24.6645, val_loss:60.7583
ep:520, reward:83.6, epsilon:42.20, lr:0.0029, loss:27.4505, val_loss:24.9993
ep:525, reward:46.2, epsilon:41.65, lr:0.0028, loss:26.0257, val_loss:19.6527
ep:530, reward:38.8, epsilon:41.10, lr:0.0027, loss:21.8026, val_loss:37.9341
ep:535, reward:37.4, epsilon:40.55, lr:0.0026, loss:21.4945, val_loss:13.9727
ep:540, reward:51.0, epsilon:40.00, lr:0.0025, loss:18.2756, val_loss:18.3190
ep:545, reward:47.6, epsilon:39.45, lr:0.0024, loss:16.7959, val_loss:23.4823
ep:550, reward:39.6, epsilon:38.90, lr:0.0023, loss:21.4745, val_loss:14.3290
ep:555, reward:88.0, epsilon:38.35, lr:0.0022, loss:25.0924, val_loss:5.8347
ep:560, reward:33.2, epsilon:37.80, lr:0.0021, loss:19.4622, val_loss:17.3834
ep:565, reward:44.6, epsilon:37.25, lr:0.0020, loss:15.2156, val_loss:28.2001
ep:570, reward:53.6, epsilon:36.70, lr:0.0019, loss:18.4123, val_loss:29.3697
ep:575, reward:61.6, epsilon:36.15, lr:0.0018, loss:20.2085, val_loss:18.2441
ep:580, reward:28.4, epsilon:35.60, lr:0.0017, loss:11.4002, val_loss:33.7819
ep:585, reward:87.0, epsilon:35.05, lr:0.0016, loss:11.9967, val_loss:2.4022
ep:590, reward:38.8, epsilon:34.50, lr:0.0015, loss:11.9565, val_loss:2.3089
ep:595, reward:53.0, epsilon:33.95, lr:0.0014, loss:14.8410, val_loss:2.2880
ep:600, reward:92.0, epsilon:33.40, lr:0.0013, loss:12.6211, val_loss:20.6108
ep:605, reward:62.0, epsilon:32.85, lr:0.0012, loss:14.2423, val_loss:4.6181
ep:610, reward:73.2, epsilon:32.30, lr:0.0011, loss:11.7238, val_loss:35.2016
ep:615, reward:67.0, epsilon:31.75, lr:0.0010, loss:10.7350, val_loss:22.8683
ep:620, reward:77.0, epsilon:31.20, lr:0.0010, loss:10.0978, val_loss:16.2909
ep:625, reward:57.4, epsilon:30.65, lr:0.0010, loss:13.2849, val_loss:0.6932
ep:630, reward:50.2, epsilon:30.10, lr:0.0010, loss:15.1281, val_loss:10.8286
ep:635, reward:60.2, epsilon:29.55, lr:0.0010, loss:15.9687, val_loss:1.5487
ep:640, reward:77.2, epsilon:29.00, lr:0.0010, loss:15.6004, val_loss:13.2844
ep:645, reward:110.2, epsilon:28.45, lr:0.0010, loss:10.1069, val_loss:14.1175
ep:650, reward:122.6, epsilon:27.90, lr:0.0010, loss:10.9766, val_loss:12.8811
ep:655, reward:117.0, epsilon:27.35, lr:0.0010, loss:11.0167, val_loss:22.2480
ep:660, reward:70.0, epsilon:26.80, lr:0.0010, loss:9.6184, val_loss:2.9498
ep:665, reward:68.4, epsilon:26.25, lr:0.0010, loss:13.7079, val_loss:1.5355
ep:670, reward:131.0, epsilon:25.70, lr:0.0010, loss:6.8332, val_loss:2.3875
ep:675, reward:91.4, epsilon:25.15, lr:0.0010, loss:11.0819, val_loss:5.8966
ep:680, reward:56.6, epsilon:24.60, lr:0.0010, loss:10.3766, val_loss:4.6525
ep:685, reward:98.6, epsilon:24.05, lr:0.0010, loss:9.2586, val_loss:1.4599
ep:690, reward:106.4, epsilon:23.50, lr:0.0010, loss:4.2542, val_loss:20.2549
ep:695, reward:104.4, epsilon:22.95, lr:0.0010, loss:7.8099, val_loss:1.1969
ep:700, reward:103.6, epsilon:22.40, lr:0.0010, loss:4.2550, val_loss:8.4042
ep:705, reward:114.6, epsilon:21.85, lr:0.0010, loss:3.6640, val_loss:2.7790
ep:710, reward:102.4, epsilon:21.30, lr:0.0010, loss:4.6712, val_loss:0.9415
ep:715, reward:83.0, epsilon:20.75, lr:0.0010, loss:2.2974, val_loss:3.1607
ep:720, reward:81.0, epsilon:20.20, lr:0.0010, loss:2.1426, val_loss:0.8801
ep:725, reward:99.0, epsilon:19.65, lr:0.0010, loss:3.4189, val_loss:0.7572
ep:730, reward:112.6, epsilon:19.10, lr:0.0010, loss:4.0677, val_loss:1.1421
ep:735, reward:61.0, epsilon:18.55, lr:0.0010, loss:3.8445, val_loss:3.7470
ep:740, reward:64.0, epsilon:18.00, lr:0.0010, loss:2.5843, val_loss:0.9434
ep:745, reward:45.0, epsilon:17.45, lr:0.0010, loss:2.2833, val_loss:0.5678
ep:750, reward:59.8, epsilon:16.90, lr:0.0010, loss:5.5108, val_loss:2.2216
ep:755, reward:85.2, epsilon:16.35, lr:0.0010, loss:4.9944, val_loss:1.8318
ep:760, reward:92.2, epsilon:15.80, lr:0.0010, loss:2.4877, val_loss:2.3959
ep:765, reward:45.0, epsilon:15.25, lr:0.0010, loss:3.7317, val_loss:0.6050
ep:770, reward:65.8, epsilon:14.70, lr:0.0010, loss:2.7793, val_loss:0.7056
ep:775, reward:45.0, epsilon:14.15, lr:0.0010, loss:3.7051, val_loss:0.5374
ep:780, reward:45.0, epsilon:13.60, lr:0.0010, loss:4.3283, val_loss:1.1320
ep:785, reward:45.0, epsilon:13.05, lr:0.0010, loss:2.1484, val_loss:4.2749
ep:790, reward:90.8, epsilon:12.50, lr:0.0010, loss:3.7652, val_loss:0.7909
ep:795, reward:45.0, epsilon:11.95, lr:0.0010, loss:3.6203, val_loss:0.5725
ep:800, reward:89.4, epsilon:11.40, lr:0.0010, loss:2.4798, val_loss:4.4651
ep:805, reward:45.0, epsilon:10.85, lr:0.0010, loss:4.3069, val_loss:1.6782
ep:810, reward:83.0, epsilon:10.30, lr:0.0010, loss:4.4682, val_loss:1.3111
ep:815, reward:45.0, epsilon:9.75, lr:0.0010, loss:3.2951, val_loss:1.8028
