ep:5, reward:27.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:18.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:31.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:24.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:26.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:16.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:17.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:28.0, epsilon:94.45, lr:0.0120, loss:64.2383, val_loss:48.4486
ep:45, reward:18.0, epsilon:93.90, lr:0.0120, loss:63.1222, val_loss:16.1034
ep:50, reward:25.8, epsilon:93.35, lr:0.0120, loss:58.7360, val_loss:52.6781
ep:55, reward:19.0, epsilon:92.80, lr:0.0120, loss:67.4382, val_loss:59.7462
ep:60, reward:20.2, epsilon:92.25, lr:0.0120, loss:65.2027, val_loss:75.5024
ep:65, reward:17.6, epsilon:91.70, lr:0.0120, loss:78.7629, val_loss:31.7341
ep:70, reward:17.2, epsilon:91.15, lr:0.0119, loss:79.9072, val_loss:79.3366
ep:75, reward:26.0, epsilon:90.60, lr:0.0118, loss:75.5811, val_loss:60.5957
ep:80, reward:22.8, epsilon:90.05, lr:0.0117, loss:75.3956, val_loss:51.1181
ep:85, reward:27.4, epsilon:89.50, lr:0.0116, loss:72.3491, val_loss:70.7362
ep:90, reward:21.4, epsilon:88.95, lr:0.0115, loss:80.5634, val_loss:36.7463
ep:95, reward:18.6, epsilon:88.40, lr:0.0114, loss:81.6711, val_loss:150.5575
ep:100, reward:27.6, epsilon:87.85, lr:0.0113, loss:89.7544, val_loss:59.4464
ep:105, reward:24.2, epsilon:87.30, lr:0.0112, loss:115.4043, val_loss:116.4725
ep:110, reward:27.4, epsilon:86.75, lr:0.0111, loss:93.9017, val_loss:130.3502
ep:115, reward:21.4, epsilon:86.20, lr:0.0110, loss:121.2971, val_loss:94.1914
ep:120, reward:18.2, epsilon:85.65, lr:0.0109, loss:96.5038, val_loss:64.8988
ep:125, reward:20.2, epsilon:85.10, lr:0.0108, loss:95.7270, val_loss:105.1173
ep:130, reward:24.0, epsilon:84.55, lr:0.0107, loss:106.3887, val_loss:107.1004
ep:135, reward:27.0, epsilon:84.00, lr:0.0106, loss:107.6595, val_loss:58.7698
ep:140, reward:22.6, epsilon:83.45, lr:0.0105, loss:108.1960, val_loss:78.8396
