ep:5, reward:33.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:18.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:20.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:22.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:17.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:24.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:20.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:21.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:18.2, epsilon:94.45, lr:0.0120, loss:60.2629, val_loss:81.0488
ep:50, reward:13.0, epsilon:93.90, lr:0.0120, loss:68.2902, val_loss:68.9122
ep:55, reward:14.2, epsilon:93.35, lr:0.0120, loss:61.8555, val_loss:97.2213
ep:60, reward:20.0, epsilon:92.80, lr:0.0120, loss:77.4699, val_loss:81.6244
ep:65, reward:17.0, epsilon:92.25, lr:0.0120, loss:90.8505, val_loss:32.5390
ep:70, reward:22.2, epsilon:91.70, lr:0.0119, loss:74.2188, val_loss:72.5497
ep:75, reward:19.8, epsilon:91.15, lr:0.0118, loss:88.9152, val_loss:90.9396
ep:80, reward:27.0, epsilon:90.60, lr:0.0117, loss:77.9941, val_loss:123.3409
ep:85, reward:21.4, epsilon:90.05, lr:0.0116, loss:79.3420, val_loss:128.7895
ep:90, reward:17.6, epsilon:89.50, lr:0.0115, loss:83.0776, val_loss:72.1047
ep:95, reward:23.6, epsilon:88.95, lr:0.0114, loss:85.4996, val_loss:104.4456
ep:100, reward:16.8, epsilon:88.40, lr:0.0113, loss:92.1971, val_loss:99.6594
ep:105, reward:27.2, epsilon:87.85, lr:0.0112, loss:88.6489, val_loss:74.8031
ep:110, reward:22.6, epsilon:87.30, lr:0.0111, loss:103.4063, val_loss:108.6133
ep:115, reward:29.2, epsilon:86.75, lr:0.0110, loss:101.6523, val_loss:132.1482
ep:120, reward:17.6, epsilon:86.20, lr:0.0109, loss:91.8872, val_loss:78.1645
ep:125, reward:17.2, epsilon:85.65, lr:0.0108, loss:101.4656, val_loss:64.8519
ep:130, reward:19.6, epsilon:85.10, lr:0.0107, loss:92.5991, val_loss:86.4174
ep:135, reward:16.2, epsilon:84.55, lr:0.0106, loss:83.3642, val_loss:122.2650
ep:140, reward:24.0, epsilon:84.00, lr:0.0105, loss:100.5019, val_loss:90.0480
ep:145, reward:19.0, epsilon:83.45, lr:0.0104, loss:91.6467, val_loss:166.9139
ep:150, reward:22.8, epsilon:82.90, lr:0.0103, loss:102.4448, val_loss:125.3866
ep:155, reward:19.8, epsilon:82.35, lr:0.0102, loss:91.3089, val_loss:119.5719
ep:160, reward:27.6, epsilon:81.80, lr:0.0101, loss:94.8365, val_loss:312.4811
ep:165, reward:17.6, epsilon:81.25, lr:0.0100, loss:114.6857, val_loss:262.9284
ep:170, reward:18.6, epsilon:80.70, lr:0.0099, loss:129.2685, val_loss:126.2412
ep:175, reward:22.0, epsilon:80.15, lr:0.0098, loss:127.3529, val_loss:168.6987
