ep:5, reward:21.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:28.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:18.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:21.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:19.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:19.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:16.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:23.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:23.6, epsilon:94.45, lr:0.0120, loss:69.2887, val_loss:50.6684
ep:50, reward:16.2, epsilon:93.90, lr:0.0120, loss:69.9636, val_loss:86.0960
ep:55, reward:12.4, epsilon:93.35, lr:0.0120, loss:72.5041, val_loss:66.3937
ep:60, reward:15.6, epsilon:92.80, lr:0.0120, loss:82.8940, val_loss:43.8544
ep:65, reward:19.8, epsilon:92.25, lr:0.0120, loss:72.6454, val_loss:50.9878
ep:70, reward:23.0, epsilon:91.70, lr:0.0119, loss:94.1158, val_loss:104.2117
ep:75, reward:17.4, epsilon:91.15, lr:0.0118, loss:92.7559, val_loss:66.9589
ep:80, reward:23.4, epsilon:90.60, lr:0.0117, loss:67.9117, val_loss:68.4467
ep:85, reward:23.0, epsilon:90.05, lr:0.0116, loss:71.8032, val_loss:141.3312
ep:90, reward:15.4, epsilon:89.50, lr:0.0115, loss:93.4643, val_loss:70.4518
ep:95, reward:14.8, epsilon:88.95, lr:0.0114, loss:87.7188, val_loss:37.5810
ep:100, reward:17.4, epsilon:88.40, lr:0.0113, loss:81.0823, val_loss:93.9954
ep:105, reward:23.6, epsilon:87.85, lr:0.0112, loss:87.5028, val_loss:84.8927
ep:110, reward:26.8, epsilon:87.30, lr:0.0111, loss:84.8648, val_loss:99.3903
ep:115, reward:23.0, epsilon:86.75, lr:0.0110, loss:90.5626, val_loss:106.3633
ep:120, reward:31.0, epsilon:86.20, lr:0.0109, loss:86.0024, val_loss:134.9429
ep:125, reward:21.2, epsilon:85.65, lr:0.0108, loss:89.4031, val_loss:54.9765
ep:130, reward:19.8, epsilon:85.10, lr:0.0107, loss:74.0092, val_loss:129.9247
ep:135, reward:16.6, epsilon:84.55, lr:0.0106, loss:94.5137, val_loss:86.2266
ep:140, reward:19.4, epsilon:84.00, lr:0.0105, loss:102.2988, val_loss:146.8728
ep:145, reward:17.6, epsilon:83.45, lr:0.0104, loss:96.1714, val_loss:57.2069
ep:150, reward:20.0, epsilon:82.90, lr:0.0103, loss:112.8201, val_loss:58.2396
ep:155, reward:21.8, epsilon:82.35, lr:0.0102, loss:101.7031, val_loss:101.6672
ep:160, reward:17.8, epsilon:81.80, lr:0.0101, loss:103.8500, val_loss:288.0444
ep:165, reward:14.4, epsilon:81.25, lr:0.0100, loss:115.4826, val_loss:79.3256
ep:170, reward:16.2, epsilon:80.70, lr:0.0099, loss:111.2457, val_loss:122.6042
ep:175, reward:20.0, epsilon:80.15, lr:0.0098, loss:105.9763, val_loss:190.1969
ep:180, reward:20.2, epsilon:79.60, lr:0.0097, loss:120.4768, val_loss:114.3569
ep:185, reward:16.8, epsilon:79.05, lr:0.0096, loss:110.2442, val_loss:195.5537
ep:190, reward:19.2, epsilon:78.50, lr:0.0095, loss:123.3790, val_loss:51.3724
ep:195, reward:13.8, epsilon:77.95, lr:0.0094, loss:121.4574, val_loss:97.1802
ep:200, reward:13.6, epsilon:77.40, lr:0.0093, loss:104.9433, val_loss:152.3260
ep:205, reward:18.8, epsilon:76.85, lr:0.0092, loss:118.4567, val_loss:86.5756
ep:210, reward:26.4, epsilon:76.30, lr:0.0091, loss:119.7865, val_loss:94.0458
ep:215, reward:22.8, epsilon:75.75, lr:0.0090, loss:110.3672, val_loss:101.1482
ep:220, reward:23.4, epsilon:75.20, lr:0.0089, loss:117.5370, val_loss:145.4615
ep:225, reward:26.4, epsilon:74.65, lr:0.0088, loss:113.5301, val_loss:107.7073
ep:230, reward:34.4, epsilon:74.10, lr:0.0087, loss:111.8044, val_loss:184.7966
ep:235, reward:20.0, epsilon:73.55, lr:0.0086, loss:120.4183, val_loss:104.4091
ep:240, reward:27.4, epsilon:73.00, lr:0.0085, loss:106.3734, val_loss:81.2283
ep:245, reward:17.6, epsilon:72.45, lr:0.0084, loss:104.6452, val_loss:105.1549
ep:250, reward:22.2, epsilon:71.90, lr:0.0083, loss:108.6626, val_loss:146.4608
ep:255, reward:15.2, epsilon:71.35, lr:0.0082, loss:104.9711, val_loss:85.9058
ep:260, reward:20.8, epsilon:70.80, lr:0.0081, loss:119.4359, val_loss:116.1044
ep:265, reward:16.4, epsilon:70.25, lr:0.0080, loss:103.0745, val_loss:123.9206
ep:270, reward:25.4, epsilon:69.70, lr:0.0079, loss:110.1476, val_loss:78.6081
ep:275, reward:23.0, epsilon:69.15, lr:0.0078, loss:120.8418, val_loss:144.2903
ep:280, reward:37.6, epsilon:68.60, lr:0.0077, loss:88.3830, val_loss:171.3163
ep:285, reward:30.2, epsilon:68.05, lr:0.0076, loss:105.9228, val_loss:154.2009
ep:290, reward:16.0, epsilon:67.50, lr:0.0075, loss:125.3863, val_loss:85.1041
ep:295, reward:26.4, epsilon:66.95, lr:0.0074, loss:109.4637, val_loss:92.5250
ep:300, reward:27.6, epsilon:66.40, lr:0.0073, loss:129.9978, val_loss:130.9828
