ep:5, reward:18.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:22.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:18.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:20.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:25.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:21.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:21.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:20.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:28.6, epsilon:94.45, lr:0.0120, loss:66.1688, val_loss:82.7439
ep:50, reward:16.6, epsilon:93.90, lr:0.0120, loss:68.2032, val_loss:81.9418
ep:55, reward:19.8, epsilon:93.35, lr:0.0120, loss:59.3851, val_loss:130.9360
ep:60, reward:27.0, epsilon:92.80, lr:0.0120, loss:70.8000, val_loss:74.7528
ep:65, reward:18.2, epsilon:92.25, lr:0.0120, loss:70.1764, val_loss:81.4937
ep:70, reward:14.2, epsilon:91.70, lr:0.0119, loss:67.3628, val_loss:131.2200
ep:75, reward:18.0, epsilon:91.15, lr:0.0118, loss:80.4861, val_loss:107.3850
ep:80, reward:33.6, epsilon:90.60, lr:0.0117, loss:82.7938, val_loss:95.2521
ep:85, reward:18.8, epsilon:90.05, lr:0.0116, loss:80.2366, val_loss:58.2314
ep:90, reward:22.2, epsilon:89.50, lr:0.0115, loss:80.7319, val_loss:114.1491
ep:95, reward:17.6, epsilon:88.95, lr:0.0114, loss:82.4666, val_loss:46.4831
ep:100, reward:22.6, epsilon:88.40, lr:0.0113, loss:106.2390, val_loss:151.1411
ep:105, reward:31.0, epsilon:87.85, lr:0.0112, loss:84.3835, val_loss:70.5516
ep:110, reward:24.0, epsilon:87.30, lr:0.0111, loss:86.7607, val_loss:66.4859
ep:115, reward:24.4, epsilon:86.75, lr:0.0110, loss:86.2553, val_loss:113.4446
ep:120, reward:30.8, epsilon:86.20, lr:0.0109, loss:71.1289, val_loss:151.9202
ep:125, reward:14.2, epsilon:85.65, lr:0.0108, loss:101.1774, val_loss:144.7815
ep:130, reward:18.8, epsilon:85.10, lr:0.0107, loss:75.4386, val_loss:256.6024
ep:135, reward:16.8, epsilon:84.55, lr:0.0106, loss:99.4202, val_loss:90.8585
ep:140, reward:26.2, epsilon:84.00, lr:0.0105, loss:99.3994, val_loss:172.4789
ep:145, reward:25.0, epsilon:83.45, lr:0.0104, loss:91.5422, val_loss:171.1049
ep:150, reward:12.2, epsilon:82.90, lr:0.0103, loss:110.9249, val_loss:94.1734
ep:155, reward:24.8, epsilon:82.35, lr:0.0102, loss:116.5135, val_loss:228.1223
ep:160, reward:20.0, epsilon:81.80, lr:0.0101, loss:114.5596, val_loss:162.3362
ep:165, reward:18.6, epsilon:81.25, lr:0.0100, loss:135.2127, val_loss:97.8481
ep:170, reward:15.6, epsilon:80.70, lr:0.0099, loss:112.2503, val_loss:105.8017
ep:175, reward:15.6, epsilon:80.15, lr:0.0098, loss:131.2221, val_loss:61.7341
ep:180, reward:16.4, epsilon:79.60, lr:0.0097, loss:116.5678, val_loss:142.3209
ep:185, reward:22.8, epsilon:79.05, lr:0.0096, loss:130.4091, val_loss:113.5741
ep:190, reward:22.4, epsilon:78.50, lr:0.0095, loss:109.3961, val_loss:172.0897
ep:195, reward:17.0, epsilon:77.95, lr:0.0094, loss:128.8614, val_loss:105.7384
ep:200, reward:36.8, epsilon:77.40, lr:0.0093, loss:132.2914, val_loss:146.1502
ep:205, reward:21.6, epsilon:76.85, lr:0.0092, loss:135.9139, val_loss:364.4009
ep:210, reward:14.8, epsilon:76.30, lr:0.0091, loss:120.5611, val_loss:96.3284
ep:215, reward:22.2, epsilon:75.75, lr:0.0090, loss:121.5970, val_loss:107.2393
ep:220, reward:17.4, epsilon:75.20, lr:0.0089, loss:106.0935, val_loss:93.2481
ep:225, reward:15.6, epsilon:74.65, lr:0.0088, loss:105.9908, val_loss:393.3357
ep:230, reward:16.6, epsilon:74.10, lr:0.0087, loss:114.6844, val_loss:302.5333
ep:235, reward:18.8, epsilon:73.55, lr:0.0086, loss:130.3111, val_loss:70.3704
ep:240, reward:27.4, epsilon:73.00, lr:0.0085, loss:109.3420, val_loss:138.6076
ep:245, reward:20.6, epsilon:72.45, lr:0.0084, loss:141.9048, val_loss:134.4522
ep:250, reward:32.8, epsilon:71.90, lr:0.0083, loss:136.9585, val_loss:157.2124
ep:255, reward:21.6, epsilon:71.35, lr:0.0082, loss:130.3024, val_loss:127.4153
ep:260, reward:25.6, epsilon:70.80, lr:0.0081, loss:120.8808, val_loss:153.0289
ep:265, reward:21.0, epsilon:70.25, lr:0.0080, loss:114.5006, val_loss:136.1882
ep:270, reward:16.8, epsilon:69.70, lr:0.0079, loss:110.0467, val_loss:202.5909
ep:275, reward:15.2, epsilon:69.15, lr:0.0078, loss:147.0573, val_loss:93.2161
ep:280, reward:15.4, epsilon:68.60, lr:0.0077, loss:127.0650, val_loss:117.0246
ep:285, reward:22.6, epsilon:68.05, lr:0.0076, loss:111.5691, val_loss:106.8187
ep:290, reward:15.4, epsilon:67.50, lr:0.0075, loss:103.2254, val_loss:91.0925
ep:295, reward:16.0, epsilon:66.95, lr:0.0074, loss:118.5883, val_loss:161.4958
ep:300, reward:14.6, epsilon:66.40, lr:0.0073, loss:110.4740, val_loss:141.5283
ep:305, reward:19.6, epsilon:65.85, lr:0.0072, loss:107.1806, val_loss:165.7998
ep:310, reward:19.2, epsilon:65.30, lr:0.0071, loss:108.5923, val_loss:110.1289
ep:315, reward:22.0, epsilon:64.75, lr:0.0070, loss:96.2628, val_loss:132.7743
ep:320, reward:19.8, epsilon:64.20, lr:0.0069, loss:129.4707, val_loss:343.6968
ep:325, reward:26.4, epsilon:63.65, lr:0.0068, loss:135.7882, val_loss:77.1560
ep:330, reward:35.6, epsilon:63.10, lr:0.0067, loss:121.5043, val_loss:129.0688
ep:335, reward:13.4, epsilon:62.55, lr:0.0066, loss:118.3691, val_loss:143.0220
ep:340, reward:17.6, epsilon:62.00, lr:0.0065, loss:112.6675, val_loss:75.6240
ep:345, reward:24.0, epsilon:61.45, lr:0.0064, loss:99.5154, val_loss:117.4741
ep:350, reward:11.0, epsilon:60.90, lr:0.0063, loss:104.4488, val_loss:152.0552
ep:355, reward:17.4, epsilon:60.35, lr:0.0062, loss:107.3054, val_loss:342.2238
ep:360, reward:16.8, epsilon:59.80, lr:0.0061, loss:108.4988, val_loss:113.4413
ep:365, reward:22.8, epsilon:59.25, lr:0.0060, loss:103.5054, val_loss:106.5951
ep:370, reward:13.0, epsilon:58.70, lr:0.0059, loss:120.4850, val_loss:95.7863
ep:375, reward:32.6, epsilon:58.15, lr:0.0058, loss:89.2301, val_loss:202.4352
ep:380, reward:40.0, epsilon:57.60, lr:0.0057, loss:112.3442, val_loss:51.9004
ep:385, reward:21.6, epsilon:57.05, lr:0.0056, loss:113.1586, val_loss:95.4619
ep:390, reward:29.4, epsilon:56.50, lr:0.0055, loss:107.7511, val_loss:63.4772
ep:395, reward:18.6, epsilon:55.95, lr:0.0054, loss:96.9528, val_loss:103.1039
ep:400, reward:22.8, epsilon:55.40, lr:0.0053, loss:94.8433, val_loss:81.6267
ep:405, reward:51.4, epsilon:54.85, lr:0.0052, loss:86.0965, val_loss:92.7816
ep:410, reward:45.4, epsilon:54.30, lr:0.0051, loss:84.1670, val_loss:103.6331
ep:415, reward:43.6, epsilon:53.75, lr:0.0050, loss:70.0507, val_loss:124.2816
ep:420, reward:46.0, epsilon:53.20, lr:0.0049, loss:80.9957, val_loss:106.7555
ep:425, reward:59.0, epsilon:52.65, lr:0.0048, loss:79.9155, val_loss:70.1481
ep:430, reward:45.0, epsilon:52.10, lr:0.0047, loss:75.0234, val_loss:45.1241
ep:435, reward:39.8, epsilon:51.55, lr:0.0046, loss:82.0275, val_loss:104.9513
ep:440, reward:43.6, epsilon:51.00, lr:0.0045, loss:68.9827, val_loss:120.4747
ep:445, reward:47.2, epsilon:50.45, lr:0.0044, loss:91.4072, val_loss:60.7766
ep:450, reward:49.0, epsilon:49.90, lr:0.0043, loss:66.3626, val_loss:62.6687
ep:455, reward:93.6, epsilon:49.35, lr:0.0042, loss:72.9156, val_loss:107.7316
ep:460, reward:86.6, epsilon:48.80, lr:0.0041, loss:75.1353, val_loss:97.5383
ep:465, reward:49.8, epsilon:48.25, lr:0.0040, loss:65.3428, val_loss:85.2615
ep:470, reward:38.4, epsilon:47.70, lr:0.0039, loss:69.5061, val_loss:86.0090
ep:475, reward:45.0, epsilon:47.15, lr:0.0038, loss:67.6952, val_loss:99.6223
ep:480, reward:30.8, epsilon:46.60, lr:0.0037, loss:78.3867, val_loss:93.1440
ep:485, reward:88.0, epsilon:46.05, lr:0.0036, loss:50.9586, val_loss:65.1678
ep:490, reward:46.8, epsilon:45.50, lr:0.0035, loss:47.4515, val_loss:26.0070
ep:495, reward:63.4, epsilon:44.95, lr:0.0034, loss:33.1866, val_loss:90.3200
ep:500, reward:62.6, epsilon:44.40, lr:0.0033, loss:26.0639, val_loss:27.9805
ep:505, reward:58.4, epsilon:43.85, lr:0.0032, loss:21.9390, val_loss:48.0292
ep:510, reward:55.8, epsilon:43.30, lr:0.0031, loss:16.0164, val_loss:6.8447
ep:515, reward:57.2, epsilon:42.75, lr:0.0030, loss:9.6335, val_loss:7.9113
ep:520, reward:83.6, epsilon:42.20, lr:0.0029, loss:17.6805, val_loss:4.1842
ep:525, reward:84.0, epsilon:41.65, lr:0.0028, loss:15.3866, val_loss:7.4678
ep:530, reward:94.0, epsilon:41.10, lr:0.0027, loss:13.5475, val_loss:19.5204
ep:535, reward:34.0, epsilon:40.55, lr:0.0026, loss:11.0279, val_loss:21.1112
ep:540, reward:73.0, epsilon:40.00, lr:0.0025, loss:16.4059, val_loss:1.7135
ep:545, reward:69.6, epsilon:39.45, lr:0.0024, loss:12.7777, val_loss:17.1897
ep:550, reward:67.4, epsilon:38.90, lr:0.0023, loss:12.9078, val_loss:3.7409
ep:555, reward:78.8, epsilon:38.35, lr:0.0022, loss:11.0298, val_loss:28.5719
ep:560, reward:47.8, epsilon:37.80, lr:0.0021, loss:12.1777, val_loss:16.4289
ep:565, reward:105.6, epsilon:37.25, lr:0.0020, loss:17.6203, val_loss:1.5276
ep:570, reward:51.2, epsilon:36.70, lr:0.0019, loss:9.2808, val_loss:14.2794
ep:575, reward:85.0, epsilon:36.15, lr:0.0018, loss:15.9587, val_loss:4.4866
ep:580, reward:64.6, epsilon:35.60, lr:0.0017, loss:7.8717, val_loss:13.9431
ep:585, reward:118.4, epsilon:35.05, lr:0.0016, loss:13.8488, val_loss:1.0593
ep:590, reward:86.4, epsilon:34.50, lr:0.0015, loss:12.5067, val_loss:1.9979
