ep:5, reward:26.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:21.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:21.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:21.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:22.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:13.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:16.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:20.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:22.6, epsilon:94.45, lr:0.0120, loss:69.9736, val_loss:111.0031
ep:50, reward:26.6, epsilon:93.90, lr:0.0120, loss:70.3680, val_loss:31.6273
ep:55, reward:23.8, epsilon:93.35, lr:0.0120, loss:70.0157, val_loss:59.3083
ep:60, reward:15.6, epsilon:92.80, lr:0.0120, loss:77.6769, val_loss:61.5028
ep:65, reward:20.2, epsilon:92.25, lr:0.0120, loss:73.3642, val_loss:60.7026
ep:70, reward:25.0, epsilon:91.70, lr:0.0119, loss:67.6078, val_loss:108.2817
ep:75, reward:23.6, epsilon:91.15, lr:0.0118, loss:78.0429, val_loss:41.9607
ep:80, reward:21.6, epsilon:90.60, lr:0.0117, loss:81.3065, val_loss:41.2518
ep:85, reward:19.6, epsilon:90.05, lr:0.0116, loss:76.0771, val_loss:81.2390
ep:90, reward:16.6, epsilon:89.50, lr:0.0115, loss:68.2195, val_loss:64.3483
ep:95, reward:23.2, epsilon:88.95, lr:0.0114, loss:80.6386, val_loss:125.1718
ep:100, reward:18.6, epsilon:88.40, lr:0.0113, loss:80.6878, val_loss:97.4831
ep:105, reward:26.2, epsilon:87.85, lr:0.0112, loss:80.9160, val_loss:154.6637
ep:110, reward:26.6, epsilon:87.30, lr:0.0111, loss:80.7240, val_loss:81.5173
ep:115, reward:15.8, epsilon:86.75, lr:0.0110, loss:100.9687, val_loss:89.3783
ep:120, reward:18.8, epsilon:86.20, lr:0.0109, loss:91.8700, val_loss:81.7095
ep:125, reward:17.8, epsilon:85.65, lr:0.0108, loss:84.8770, val_loss:81.9991
ep:130, reward:26.8, epsilon:85.10, lr:0.0107, loss:89.2509, val_loss:145.2888
ep:135, reward:18.2, epsilon:84.55, lr:0.0106, loss:100.3276, val_loss:103.2529
ep:140, reward:19.6, epsilon:84.00, lr:0.0105, loss:94.5850, val_loss:176.4173
ep:145, reward:15.6, epsilon:83.45, lr:0.0104, loss:115.2916, val_loss:165.3170
ep:150, reward:23.6, epsilon:82.90, lr:0.0103, loss:105.0751, val_loss:64.3462
ep:155, reward:17.6, epsilon:82.35, lr:0.0102, loss:107.4260, val_loss:119.0284
ep:160, reward:19.8, epsilon:81.80, lr:0.0101, loss:123.2815, val_loss:185.1310
ep:165, reward:17.6, epsilon:81.25, lr:0.0100, loss:103.5507, val_loss:104.9722
ep:170, reward:13.0, epsilon:80.70, lr:0.0099, loss:134.0877, val_loss:68.6685
ep:175, reward:16.0, epsilon:80.15, lr:0.0098, loss:132.7937, val_loss:133.7270
ep:180, reward:22.2, epsilon:79.60, lr:0.0097, loss:114.1689, val_loss:85.4321
ep:185, reward:18.8, epsilon:79.05, lr:0.0096, loss:131.9399, val_loss:126.2363
ep:190, reward:14.2, epsilon:78.50, lr:0.0095, loss:123.6722, val_loss:177.8059
ep:195, reward:22.4, epsilon:77.95, lr:0.0094, loss:106.6783, val_loss:179.3710
ep:200, reward:16.8, epsilon:77.40, lr:0.0093, loss:120.2738, val_loss:103.5911
