ep:5, reward:25.6, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:10, reward:18.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:15, reward:23.0, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:20, reward:28.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:25, reward:16.4, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:30, reward:18.8, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:35, reward:23.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:40, reward:18.2, epsilon:95.00, lr:0.0120, loss:0.0000, val_loss:0.0000
ep:45, reward:18.2, epsilon:94.45, lr:0.0120, loss:67.8618, val_loss:65.3167
ep:50, reward:18.6, epsilon:93.90, lr:0.0120, loss:68.2142, val_loss:63.1923
ep:55, reward:24.4, epsilon:93.35, lr:0.0120, loss:72.7580, val_loss:59.5263
ep:60, reward:17.8, epsilon:92.80, lr:0.0120, loss:66.1577, val_loss:78.3802
ep:65, reward:26.6, epsilon:92.25, lr:0.0120, loss:71.3437, val_loss:60.1019
ep:70, reward:26.4, epsilon:91.70, lr:0.0119, loss:66.1124, val_loss:122.3871
ep:75, reward:21.0, epsilon:91.15, lr:0.0118, loss:68.5324, val_loss:178.6476
ep:80, reward:21.0, epsilon:90.60, lr:0.0117, loss:74.9020, val_loss:76.3969
ep:85, reward:23.6, epsilon:90.05, lr:0.0116, loss:73.8405, val_loss:158.8211
ep:90, reward:28.2, epsilon:89.50, lr:0.0115, loss:78.0980, val_loss:113.5283
ep:95, reward:24.8, epsilon:88.95, lr:0.0114, loss:76.9783, val_loss:69.6789
ep:100, reward:23.2, epsilon:88.40, lr:0.0113, loss:86.8980, val_loss:55.2564
ep:105, reward:20.0, epsilon:87.85, lr:0.0112, loss:83.2308, val_loss:114.4663
ep:110, reward:20.4, epsilon:87.30, lr:0.0111, loss:91.7125, val_loss:112.3098
ep:115, reward:28.4, epsilon:86.75, lr:0.0110, loss:86.0370, val_loss:103.6507
ep:120, reward:22.0, epsilon:86.20, lr:0.0109, loss:76.4207, val_loss:409.3834
ep:125, reward:19.0, epsilon:85.65, lr:0.0108, loss:116.7908, val_loss:88.9755
ep:130, reward:25.2, epsilon:85.10, lr:0.0107, loss:119.8061, val_loss:104.3359
ep:135, reward:30.2, epsilon:84.55, lr:0.0106, loss:102.2217, val_loss:118.8103
ep:140, reward:14.6, epsilon:84.00, lr:0.0105, loss:93.4891, val_loss:85.2527
ep:145, reward:21.6, epsilon:83.45, lr:0.0104, loss:102.0387, val_loss:111.7929
ep:150, reward:18.8, epsilon:82.90, lr:0.0103, loss:111.1132, val_loss:79.1838
ep:155, reward:21.4, epsilon:82.35, lr:0.0102, loss:106.2244, val_loss:104.3476
ep:160, reward:24.0, epsilon:81.80, lr:0.0101, loss:119.6007, val_loss:50.1823
ep:165, reward:23.6, epsilon:81.25, lr:0.0100, loss:110.7722, val_loss:71.1188
ep:170, reward:34.6, epsilon:80.70, lr:0.0099, loss:97.9308, val_loss:68.4894
ep:175, reward:32.0, epsilon:80.15, lr:0.0098, loss:93.5000, val_loss:100.9478
ep:180, reward:19.8, epsilon:79.60, lr:0.0097, loss:105.0639, val_loss:100.4636
ep:185, reward:22.8, epsilon:79.05, lr:0.0096, loss:96.7155, val_loss:153.7270
ep:190, reward:20.4, epsilon:78.50, lr:0.0095, loss:99.6347, val_loss:102.7383
ep:195, reward:15.4, epsilon:77.95, lr:0.0094, loss:94.1989, val_loss:72.9035
ep:200, reward:27.2, epsilon:77.40, lr:0.0093, loss:100.6836, val_loss:91.6333
ep:205, reward:28.6, epsilon:76.85, lr:0.0092, loss:103.7615, val_loss:66.8346
ep:210, reward:23.0, epsilon:76.30, lr:0.0091, loss:109.2651, val_loss:74.8619
ep:215, reward:15.2, epsilon:75.75, lr:0.0090, loss:104.5559, val_loss:123.8145
ep:220, reward:21.4, epsilon:75.20, lr:0.0089, loss:104.2414, val_loss:96.7906
ep:225, reward:15.2, epsilon:74.65, lr:0.0088, loss:122.2729, val_loss:105.3541
ep:230, reward:33.2, epsilon:74.10, lr:0.0087, loss:94.5638, val_loss:87.2886
ep:235, reward:31.6, epsilon:73.55, lr:0.0086, loss:91.2414, val_loss:154.1894
ep:240, reward:22.8, epsilon:73.00, lr:0.0085, loss:118.3451, val_loss:110.6066
ep:245, reward:21.4, epsilon:72.45, lr:0.0084, loss:85.4749, val_loss:122.0142
ep:250, reward:26.8, epsilon:71.90, lr:0.0083, loss:103.1575, val_loss:164.5640
ep:255, reward:16.8, epsilon:71.35, lr:0.0082, loss:105.7812, val_loss:92.9300
ep:260, reward:21.0, epsilon:70.80, lr:0.0081, loss:101.0445, val_loss:94.3269
ep:265, reward:30.8, epsilon:70.25, lr:0.0080, loss:93.1251, val_loss:111.2875
ep:270, reward:18.8, epsilon:69.70, lr:0.0079, loss:105.9187, val_loss:47.2863
ep:275, reward:18.0, epsilon:69.15, lr:0.0078, loss:112.8105, val_loss:97.2068
ep:280, reward:28.0, epsilon:68.60, lr:0.0077, loss:94.1678, val_loss:59.0477
ep:285, reward:27.4, epsilon:68.05, lr:0.0076, loss:90.1868, val_loss:160.4851
ep:290, reward:28.6, epsilon:67.50, lr:0.0075, loss:109.9162, val_loss:80.0409
ep:295, reward:28.0, epsilon:66.95, lr:0.0074, loss:101.6276, val_loss:79.0054
ep:300, reward:23.2, epsilon:66.40, lr:0.0073, loss:85.3439, val_loss:120.4311
ep:305, reward:27.4, epsilon:65.85, lr:0.0072, loss:91.3918, val_loss:50.7027
ep:310, reward:28.2, epsilon:65.30, lr:0.0071, loss:85.2635, val_loss:96.0983
ep:315, reward:32.2, epsilon:64.75, lr:0.0070, loss:81.6793, val_loss:140.4082
ep:320, reward:21.8, epsilon:64.20, lr:0.0069, loss:103.6309, val_loss:98.0724
ep:325, reward:17.4, epsilon:63.65, lr:0.0068, loss:86.4781, val_loss:97.6791
ep:330, reward:28.4, epsilon:63.10, lr:0.0067, loss:108.8205, val_loss:137.2436
ep:335, reward:35.4, epsilon:62.55, lr:0.0066, loss:107.3674, val_loss:229.6858
ep:340, reward:15.6, epsilon:62.00, lr:0.0065, loss:104.3746, val_loss:150.5750
ep:345, reward:48.0, epsilon:61.45, lr:0.0064, loss:83.7607, val_loss:133.8782
ep:350, reward:36.0, epsilon:60.90, lr:0.0063, loss:90.9368, val_loss:112.2559
ep:355, reward:17.6, epsilon:60.35, lr:0.0062, loss:93.0609, val_loss:96.9917
ep:360, reward:16.0, epsilon:59.80, lr:0.0061, loss:90.9638, val_loss:105.3150
ep:365, reward:43.2, epsilon:59.25, lr:0.0060, loss:75.9126, val_loss:110.5026
ep:370, reward:57.8, epsilon:58.70, lr:0.0059, loss:73.3866, val_loss:63.6593
ep:375, reward:36.4, epsilon:58.15, lr:0.0058, loss:67.2300, val_loss:100.0715
ep:380, reward:30.4, epsilon:57.60, lr:0.0057, loss:71.9773, val_loss:68.5267
ep:385, reward:63.0, epsilon:57.05, lr:0.0056, loss:61.3132, val_loss:121.1856
ep:390, reward:34.2, epsilon:56.50, lr:0.0055, loss:63.2494, val_loss:93.8816
ep:395, reward:41.2, epsilon:55.95, lr:0.0054, loss:60.4083, val_loss:56.4411
ep:400, reward:31.0, epsilon:55.40, lr:0.0053, loss:69.3305, val_loss:72.7882
ep:405, reward:48.6, epsilon:54.85, lr:0.0052, loss:52.9854, val_loss:53.6507
ep:410, reward:42.8, epsilon:54.30, lr:0.0051, loss:58.0110, val_loss:67.7273
ep:415, reward:41.8, epsilon:53.75, lr:0.0050, loss:57.1983, val_loss:94.8269
ep:420, reward:49.0, epsilon:53.20, lr:0.0049, loss:54.2619, val_loss:49.0996
ep:425, reward:74.6, epsilon:52.65, lr:0.0048, loss:59.4889, val_loss:51.2602
